right_db,left_db,RT,choice
20.5,19.5,0.1689453125,1.0
28.0,12.0,0.16796875,1.0
19.0,21.0,0.525390625,1.0
16.0,24.0,0.146484375,-1.0
24.0,16.0,0.1181640625,1.0
22.0,18.0,0.283203125,1.0
19.0,21.0,0.173828125,-1.0
28.0,12.0,0.1201171875,1.0
20.5,19.5,0.1865234375,1.0
19.0,21.0,0.349609375,-1.0
16.0,24.0,0.1259765625,-1.0
28.0,12.0,0.107421875,1.0
16.0,24.0,0.57421875,-1.0
20.5,19.5,0.2451171875,1.0
24.0,16.0,0.3095703125,1.0
16.0,24.0,0.1708984375,-1.0
28.0,12.0,0.380859375,1.0
20.5,19.5,0.302734375,1.0
20.5,19.5,0.1279296875,1.0
28.0,12.0,0.125,1.0
19.0,21.0,0.16015625,1.0
18.0,22.0,0.134765625,1.0
21.0,19.0,0.3056640625,1.0
19.0,21.0,0.271484375,1.0
12.0,28.0,0.140625,-1.0
16.0,24.0,0.361328125,1.0
19.0,21.0,0.3447265625,-1.0
24.0,16.0,0.2578125,1.0
28.0,12.0,0.2109375,1.0
19.5,20.5,0.3974609375,-1.0
21.0,19.0,0.2548828125,1.0
19.0,21.0,0.1318359375,-1.0
24.0,16.0,0.2333984375,1.0
28.0,12.0,0.2138671875,1.0
22.0,18.0,0.373046875,-1.0
12.0,28.0,0.1318359375,-1.0
24.0,16.0,0.076171875,1.0
18.0,22.0,0.4599609375,-1.0
19.0,21.0,0.0615234375,1.0
21.0,19.0,0.439453125,1.0
19.0,21.0,0.099609375,-1.0
18.0,22.0,0.2109375,-1.0
21.0,19.0,0.33203125,1.0
12.0,28.0,0.2587890625,-1.0
28.0,12.0,0.283203125,1.0
16.0,24.0,0.1376953125,-1.0
19.0,21.0,0.2685546875,-1.0
24.0,16.0,0.2109375,1.0
20.5,19.5,0.1796875,1.0
22.0,18.0,0.1279296875,1.0
19.0,21.0,0.14453125,-1.0
19.5,20.5,0.0732421875,-1.0
28.0,12.0,0.3115234375,1.0
20.5,19.5,0.111328125,1.0
12.0,28.0,0.2880859375,-1.0
16.0,24.0,0.201171875,-1.0
20.5,19.5,0.5234375,1.0
18.0,22.0,0.4013671875,-1.0
28.0,12.0,0.3017578125,1.0
21.0,19.0,0.166015625,1.0
12.0,28.0,0.2099609375,-1.0
20.5,19.5,0.1240234375,1.0
28.0,12.0,0.17578125,1.0
12.0,28.0,0.12890625,-1.0
28.0,12.0,0.15234375,1.0
20.5,19.5,0.2333984375,1.0
19.5,20.5,0.1728515625,1.0
24.0,16.0,0.1005859375,-1.0
21.0,19.0,0.662109375,-1.0
22.0,18.0,0.095703125,-1.0
19.5,20.5,0.4306640625,1.0
18.0,22.0,0.3974609375,-1.0
19.0,21.0,0.1630859375,-1.0
12.0,28.0,0.2578125,-1.0
24.0,16.0,0.3408203125,1.0
16.0,24.0,0.2900390625,-1.0
18.0,22.0,0.1640625,-1.0
24.0,16.0,0.2783203125,1.0
19.0,21.0,0.7021484375,1.0
19.5,20.5,0.431640625,-1.0
22.0,18.0,0.3154296875,1.0
12.0,28.0,0.126953125,-1.0
16.0,24.0,0.439453125,-1.0
28.0,12.0,0.3173828125,1.0
19.0,21.0,0.1962890625,1.0
21.0,19.0,0.20703125,1.0
22.0,18.0,0.482421875,1.0
16.0,24.0,0.146484375,-1.0
22.0,18.0,0.2734375,1.0
24.0,16.0,0.1494140625,1.0
21.0,19.0,0.0244140625,-1.0
